# c2-rs DECISION-SURFACE DOMAIN — GENERATED, DO NOT HAND-EDIT.
#
# Regenerate:  cargo test -p c2-core --lib surface::tests::bless -- --ignored
#
# This file is the answer to board #3723: a required-zero BYTE delta
# passes an emit widening whose new emissions the corpus never
# exercises. Every line below is a point of a decision surface that the
# corpus does NOT have to reach, so a widening moves lines here even
# when it moves no byte and no gate row.
#
# A line that changed is not automatically a defect. It is a claim that
# has to be read: the port now chooses, or refuses, differently.
#
# `REFUSE` is a refusal; anything else is the comma-separated list of
# values the port would emit at that point.

## surface  alloc.allocate
##   site      codegen/alloc.rs
##   boundary  which registers a store run's producers get, and on which (producer count, pool floor) the allocation REFUSES
##   cite      docs/ALLOC.md; board #543, #541; the C6 control that motivated #3723
##   guards    MAX_MODELLED_PRODUCERS VOLATILE_GPR_TOP
alloc.allocate  kind=const n=1 floor=00  r11
alloc.allocate  kind=const n=1 floor=01  r11
alloc.allocate  kind=const n=1 floor=02  r11
alloc.allocate  kind=const n=1 floor=03  r11
alloc.allocate  kind=const n=1 floor=04  r11
alloc.allocate  kind=const n=1 floor=05  r11
alloc.allocate  kind=const n=1 floor=06  r11
alloc.allocate  kind=const n=1 floor=07  r11
alloc.allocate  kind=const n=1 floor=08  r11
alloc.allocate  kind=const n=1 floor=09  r11
alloc.allocate  kind=const n=1 floor=10  r11
alloc.allocate  kind=const n=1 floor=11  r11
alloc.allocate  kind=const n=1 floor=12  REFUSE
alloc.allocate  kind=const n=1 floor=13  REFUSE
alloc.allocate  kind=const n=1 floor=14  REFUSE
alloc.allocate  kind=const n=1 floor=15  REFUSE
alloc.allocate  kind=const n=1 floor=16  REFUSE
alloc.allocate  kind=const n=1 floor=17  REFUSE
alloc.allocate  kind=const n=1 floor=18  REFUSE
alloc.allocate  kind=const n=1 floor=19  REFUSE
alloc.allocate  kind=const n=1 floor=20  REFUSE
alloc.allocate  kind=const n=1 floor=21  REFUSE
alloc.allocate  kind=const n=1 floor=22  REFUSE
alloc.allocate  kind=const n=1 floor=23  REFUSE
alloc.allocate  kind=const n=1 floor=24  REFUSE
alloc.allocate  kind=const n=1 floor=25  REFUSE
alloc.allocate  kind=const n=1 floor=26  REFUSE
alloc.allocate  kind=const n=1 floor=27  REFUSE
alloc.allocate  kind=const n=1 floor=28  REFUSE
alloc.allocate  kind=const n=1 floor=29  REFUSE
alloc.allocate  kind=const n=1 floor=30  REFUSE
